slow	느린
small	작은
smell	냄새 맡다
smile	미소짓다
smoke	담배 피다
snow	눈
so	그래서
soap	비누
soccer	축구
sock	양말
soft	부드러운
some	약간의
son	아들
song	노래
soon	곧
sorry	미안한
sound	소리
soup	비누
south	남쪽
space	공간, 우주
speak	말하다
speed	빠름,속도
spell	철자를말하다, 주문
spend	쓰다, 소비하다
spoon	숟가락
sport	스포츠, 운동
spring	봄
square	정사각형
stairs	계단
stamp	짓밟다, 도장찍다
stand	서다
star	별
start	시작하다
station	역
stay	머무르다
steam	수증기
step	발걸음
stick	막대기
stone	돌
stop	멈추다
store	가게
storm	폭풍우
story	이야기
stove	스토브, 난로
straight	곧은
strange	이상한
strawberry	딸기
street	거리
strike	치다
strong	강한
student	학생
study	공부하다
stupid	어리석은
sugar	설탕
summer	여름
sun	해
supper	저녁
sure	확실한, 반듯이
surprise	놀라게 하다
sweater	스웨터
sweet	달콤한
swim	수영하다
swing	흔들다,그네
switch	스위치
table	탁자
take	가져가다
talk	말하다
tall	키 큰
tape	테이프
taste	맛보다
taxi	택시
tea	차
teach	가르치다
team	팀, 조
telephone	전화
television	텔레비젼
tell	말하다
temple	절, 사원
tennis	테니스
test	시험
than	~보다
thank	~에게 감사하다
that	저것
then	그리고나서,그러면
there	거기에
they	그들은
thick	두꺼운, 빽빽한
thin	얇은
thing	것,물건
think	생각하다
thirsty	목마른
this	이것
this	이것
thousand	천
through	통과하여
throw	던지다
ticket	표
tie	넥타이, 묶다
tiger	호랑이
till	~까지
time	시간
tired	피곤한
to	~에게, 로
today	오늘
together	함께
tomato	토마토
tomorrow	내일
tonight	오늘밤
too	역시, 또한
tooth	이(치아)
top	꼭대기
touch	만지다
town	읍, 마을
toy	장난감
train	기차
travel	여행하다
tree	나무
trip	여행
truck	트럭
try	해보다,시험하다
tulip	튤립
turn	돌다, 회전시키다
twice	두 번
umbrella	우산
uncle	삼촌
under	아래에
understand	이해하다
until	~까지
up	위로
use	사용하다
usual	평소의
vacation	휴가
vegetable	야채
very	매우
video	비디오
village	마을
violin	바이올린
visit	방문하다
wait	기다리다
wake	깨우다
walk	걷다
wall	벽
want	원하다
war	전쟁
warm	따뜻한
wash	씻다
waste	낭비하다
watch	지켜보다
water	물
way	길, 방법
we	우리, 우리는
weak	약한
wear	입다
weather	날씨
week	주, 한주
welcome	환영하다
well	우물
west	서쪽
wet	젖은
what	무엇
when	언제
where	어디에
which	어떤 것
white	하얀색(의)
who	누구
why	왜
wide	넓은
will	~할 것이다
win	이기다
wind	바람
window	창문
wing	날개
winter	겨울
with	함께, 가지고
woman	여자
wonder	놀랄만한
wood	목재(나무)
word	단어
work	일하다
world	세상
write	쓰다
wrong	나쁜. 옳지 못한
yeah	정말, 그래
year	해, 년
yellow	노란색의
yes	예, 그렇습니다
yes	예
yesterday	어제
yet	아직
you	너, 너희들
young	젊은
zero	영,0
zoo	동물원
TRUE	사실, 참된
